date,value
1959-01-01,174823.0
1959-04-01,179940.0
1959-07-01,183281.0
1959-10-01,186897.0
1960-01-01,190624.0
1960-04-01,194603.0
1960-07-01,197129.0
1960-10-01,200620.0
1961-01-01,203010.0
1961-04-01,206361.0
1961-07-01,209878.0
1961-10-01,214708.0
1962-01-01,217941.0
1962-04-01,223077.0
1962-07-01,227388.0
1962-10-01,232772.0
1963-01-01,236663.0
1963-04-01,241370.0
1963-07-01,245714.0
1963-10-01,252160.0
1964-01-01,256246.0
1964-04-01,262035.0
1964-07-01,267791.0
1964-10-01,274196.0
1965-01-01,281387.0
1965-04-01,288852.0
1965-07-01,296185.0
1965-10-01,303791.0
1966-01-01,313353.0
1966-04-01,323873.0
1966-07-01,331875.0
1966-10-01,338206.0
1967-01-01,346567.0
1967-04-01,355877.0
1967-07-01,364082.0
1967-10-01,370865.0
1968-01-01,380965.0
1968-04-01,391182.0
1968-07-01,401548.0
1968-10-01,413387.0
1969-01-01,424567.0
1969-04-01,438856.0
1969-07-01,451410.0
1969-10-01,462182.0
1970-01-01,475164.0
1970-04-01,490307.0
1970-07-01,502770.0
1970-10-01,513928.0
1971-01-01,525351.0
1971-04-01,540560.0
1971-07-01,554738.0
1971-10-01,566409.0
1972-01-01,582869.0
1972-04-01,600714.0
1972-07-01,617329.0
1972-10-01,639383.0
1973-01-01,665674.0
1973-04-01,692830.0
1973-07-01,718200.0
1973-10-01,736457.0
1974-01-01,761378.0
1974-04-01,790645.0
1974-07-01,814076.0
1974-10-01,832471.0
1975-01-01,843284.0
1975-04-01,851443.0
1975-07-01,859902.0
1975-10-01,867584.0
1976-01-01,880679.0
1976-04-01,897828.0
1976-07-01,916964.0
1976-10-01,937324.0
1977-01-01,965753.0
1977-04-01,992711.0
1977-07-01,1019771.0
1977-10-01,1054347.0
1978-01-01,1085605.0
1978-04-01,1120805.0
1978-07-01,1151793.0
1978-10-01,1187814.0
1979-01-01,1224876.0
1979-04-01,1269922.0
1979-07-01,1312240.0
1979-10-01,1346999.0
1980-01-01,1386800.0
1980-04-01,1407447.0
1980-07-01,1434561.0
1980-10-01,1477729.0
1981-01-01,1512102.0
1981-04-01,1569321.0
1981-07-01,1620679.0
1981-10-01,1661467.0
1982-01-01,1703122.0
1982-04-01,1749244.0
1982-07-01,1792976.0
1982-10-01,1810714.0
1983-01-01,1861182.0
1983-04-01,1899544.0
1983-07-01,1948776.0
1983-10-01,1999189.0
1984-01-01,2074998.0
1984-04-01,2162725.0
1984-07-01,2239815.0
1984-10-01,2325746.0
1985-01-01,2383258.0
1985-04-01,2449465.0
1985-07-01,2506237.0
1985-10-01,2578134.0
1986-01-01,2642710.0
1986-04-01,2716315.0
1986-07-01,2792785.0
1986-10-01,2875176.0
1987-01-01,2938650.0
1987-04-01,2992100.0
1987-07-01,3058948.0
1987-10-01,3136377.0
1988-01-01,3207540.0
1988-04-01,3286180.0
1988-07-01,3352218.0
1988-10-01,3439017.0
1989-01-01,3507107.0
1989-04-01,3579131.0
1989-07-01,3619455.0
1989-10-01,3679918.0
1990-01-01,3733670.0
1990-04-01,3768623.0
1990-07-01,3794779.0
1990-10-01,3811851.0
1991-01-01,3789533.0
1991-04-01,3789523.0
1991-07-01,3758452.0
1991-10-01,3726189.0
1992-01-01,3729583.0
1992-04-01,3722173.0
1992-07-01,3724298.0
1992-10-01,3717770.0
1993-01-01,3735138.0
1993-04-01,3768809.0
1993-07-01,3805889.0
1993-10-01,3845564.0
1994-01-01,3909258.0
1994-04-01,3959096.0
1994-07-01,4014239.0
1994-10-01,4068939.0
1995-01-01,4139211.0
1995-04-01,4214328.0
1995-07-01,4262664.0
1995-10-01,4326587.0
1996-01-01,4374164.0
1996-04-01,4451641.0
1996-07-01,4517725.0
1996-10-01,4560827.0
1997-01-01,4648465.0
1997-04-01,4747585.0
1997-07-01,4877063.0
1997-10-01,4986314.0
1998-01-01,5144116.0
1998-04-01,5322901.0
1998-07-01,5471144.0
1998-10-01,5616073.0
1999-01-01,5784668.0
1999-04-01,5890003.0
1999-07-01,6096847.0
1999-10-01,6219943.0
2000-01-01,6388304.0
2000-04-01,6557823.0
2000-07-01,6656373.0
2000-10-01,6766791.0
2001-01-01,6811908.0
2001-04-01,6938838.0
2001-07-01,7010394.0
2001-10-01,7071796.0
2002-01-01,7127244.0
2002-04-01,7164778.0
2002-07-01,7198988.0
2002-10-01,7246410.0
2003-01-01,7263358.0
2003-04-01,7283642.0
2003-07-01,7341456.0
