date,value
1959-01-01,185158.0
1959-04-01,190686.0
1959-07-01,196494.0
1959-10-01,202312.0
1960-01-01,205944.0
1960-04-01,211105.0
1960-07-01,215384.0
1960-10-01,219857.0
1961-01-01,223424.0
1961-04-01,227802.0
1961-07-01,231794.0
1961-10-01,237897.0
1962-01-01,241979.0
1962-04-01,247269.0
1962-07-01,253278.0
1962-10-01,259748.0
1963-01-01,265529.0
1963-04-01,273045.0
1963-07-01,280355.0
1963-10-01,288207.0
1964-01-01,295158.0
1964-04-01,302628.0
1964-07-01,309327.0
1964-10-01,317126.0
1965-01-01,323883.0
1965-04-01,331135.0
1965-07-01,337889.0
1965-10-01,345859.0
1966-01-01,352482.0
1966-04-01,359679.0
1966-07-01,363409.0
1966-10-01,368389.0
1967-01-01,371777.0
1967-04-01,376520.0
1967-07-01,382306.0
1967-10-01,402313.0
1968-01-01,397669.0
1968-04-01,407891.0
1968-07-01,415109.0
1968-10-01,426687.0
1969-01-01,429576.0
1969-04-01,438266.0
1969-07-01,443618.0
1969-10-01,453267.0
1970-01-01,451256.0
1970-04-01,453903.0
1970-07-01,459349.0
1970-10-01,467157.0
1971-01-01,475664.0
1971-04-01,485229.0
1971-07-01,496017.0
1971-10-01,511303.0
1972-01-01,524671.0
1972-04-01,540098.0
1972-07-01,553144.0
1972-10-01,571260.0
1973-01-01,590517.0
1973-04-01,604553.0
1973-07-01,620759.0
1973-10-01,636669.0
1974-01-01,649073.0
1974-04-01,664213.0
1974-07-01,678860.0
1974-10-01,691463.0
1975-01-01,700256.0
1975-04-01,708387.0
1975-07-01,724097.0
1975-10-01,747467.0
1976-01-01,767638.0
1976-04-01,788201.0
1976-07-01,808287.0
1976-10-01,836251.0
1977-01-01,864809.0
1977-04-01,897922.0
1977-07-01,931219.0
1977-10-01,966499.0
1978-01-01,1002802.0
1978-04-01,1046971.0
1978-07-01,1088856.0
1978-10-01,1128011.0
1979-01-01,1170217.0
1979-04-01,1211369.0
1979-07-01,1255569.0
1979-10-01,1296896.0
1980-01-01,1338608.0
1980-04-01,1352030.0
1980-07-01,1381252.0
1980-10-01,1420187.0
1981-01-01,1442338.0
1981-04-01,1474872.0
1981-07-01,1498878.0
1981-10-01,1526550.0
1982-01-01,1545004.0
1982-04-01,1564464.0
1982-07-01,1567289.0
1982-10-01,1597887.0
1983-01-01,1608036.0
1983-04-01,1652377.0
1983-07-01,1700844.0
1983-10-01,1759572.0
1984-01-01,1813139.0
1984-04-01,1870217.0
1984-07-01,1915438.0
1984-10-01,1977628.0
1985-01-01,2078562.0
1985-04-01,2142766.0
1985-07-01,2223574.0
1985-10-01,2329728.0
1986-01-01,2383822.0
1986-04-01,2436276.0
1986-07-01,2514104.0
1986-10-01,2592227.0
1987-01-01,2626546.0
1987-04-01,2706761.0
